category;name;price
Дисплей;Дисплей Samsung M205FN M20 в сборе черный (Service Pack 100%);2490
Дисплей;Дисплей  Watch S4 44 мм в сборе (Оригинал);7990
Дисплей;Тачскрин кит. 7'' SG5740A-FPC-V5-1 черный;50
Дисплей;Дисплей Sony E1 D2005/D2105 1 класс;50
Дисплей;Дисплей Xiaomi Redmi 6A + тачскрин белый;740
Дисплей;Тачскрин Asus ZenFone 4 (A400CG) черный;50
Дисплей;Тачскрин iPad Mini 3 черный 2 класс;190
Дисплей;Дисплей Xiaomi Mi MAX + тачскрин черный;990
Дисплей;Тачскрин кит. 7'' TPC 1219 ver.1.0 черный;50
Дисплей;Дисплей Huawei Honor 8 + тачскрин белый;990
Дисплей;Дисплей iPhone 5S/SE + тач белый (Оригинал/CG);1390
Дисплей;Тачскрин Asus ZenFone 5 (A500KL/A501CG) черный;50
Дисплей;Тачскрин Asus P552 (Н/З!);50
Дисплей;Дисплей Huawei Y5 Prime (2018) + тачскрин черный;190
Дисплей;Дисплей Vivo V11i/V11/Y97/Z3/Z3i + тачскрин черный;690
Дисплей;Дисплей ZTE Nubia Z9 Mini + тачскрин черный;100
Дисплей;Тачскрин Sony E C1505/C1605 черный 1 класс;50
Дисплей;Тачскрин Huawei Honor 4A черный;50
Дисплей;Тачскрин Huawei U8500 (МТС Evo/Билайн E300) черный;50
Дисплей;Дисплей Oppo A72 (5G)/A53 (5G)/A92 (5G) + тачскрин черный (Premium);590
Дисплей;Дисплей Tecno Spark 9 Pro/9T (KH7/KH7n/KH6) + тачскрин черный;1090
Дисплей;Дисплей Infinix Hot 40i (X6528B) + тачскрин черный (Premium);1240
Дисплей;Дисплей ZTE Blade V8C + тачскрин черный;100
Дисплей;Дисплей iPhone 8/SE 2020/SE 2022 + тач черный (Оригинал);2590
Дисплей;Тачскрин Huawei U8350 (МТС Pro);50
Дисплей;Дисплей ZTE Blade A110 + тачскрин черный в сборе;100
Дисплей;Дисплей Huawei Honor X7a/X7a Plus/Enjoy 40 Plus + тачскрин черный (Premium);1490
Дисплей;Дисплей iPhone 8 Plus + тач белый (Оригинал/CG);1890
Дисплей;Дисплей Samsung A042F A04e в сборе черный (Service Pack OEM);990
Дисплей;Дисплей ZTE Blade AF5;100
Дисплей;Дисплей Huawei Y9 (2019)/Y8s + тачскрин черный;990
Дисплей;Дисплей iPhone 5S/SE + тач черный (Оригинал/CG);1390
Дисплей;Дисплей Huawei Honor X8a/90 Lite + тачскрин черный (Premium);1940
Дисплей;Тачскрин кит. 7'' 04-0700-0866 V1 51pin черный;50
Дисплей;Дисплей Xiaomi Redmi 4 + тачскрин черный;490
Дисплей;Дисплей Huawei Honor 9A/Huawei Y6P + тачскрин черный (Premium);1390
Дисплей;Дисплей Huawei Honor 6C Pro + тачскрин черный;490
Дисплей;Дисплей Huawei Ascend Y540 Н/З;50
Дисплей;Дисплей Huawei Ascend G510/U8951;50
Дисплей;Дисплей iPhone 13 Pro + тачскрин (Копия - Hard OLED);9590
Дисплей;Дисплей iPhone 12 Pro Max + тачскрин (Копия - Hard OLED);6790
Дисплей;Тачскрин кит. 7'' FPC-753A0-V02 черный;50
Дисплей;Дисплей ZTE Blade AF3;100
Дисплей;Тачскрин кит. 7'' 7-0043/HLD-GG705S-G-20 черный;50
Дисплей;Тачскрин Sony L C2104/C2105 черный 1 класс;50
Дисплей;Дисплей ZTE Blade A3 + тачскрин черный в сборе;100
Дисплей;Дисплей ZTE C880S + тачскрин черный;100
Дисплей;Дисплей Xiaomi Redmi A1/A1+/A2/A2+/Poco C50/Poco C51 тачскрин черный (Premium);1390
Дисплей;Дисплей Huawei Ascend Y100/U8185  (Н/З!);50
Дисплей;Дисплей Xiaomi Mi 4s + тачскрин черный;490
Дисплей;Дисплей ZTE Blade A3 + тачскрин черный;100
Дисплей;Дисплей Samsung A146P A14(5G)+ тач черный (Узкий коннектор)(Оригинал/CG);990
Дисплей;Дисплей Oppo R7 + тачскрин в сборе белый в TFT;190
Дисплей;Дисплей Sony J ST26i 1 класс;50
Дисплей;Тачскрин кит. 7'' FPC-753A0-V02 белый;50
Дисплей;Дисплей TCL 10L (T770H/T770B/4187U) + тачскрин черный;590
Дисплей;Дисплей Huawei Ascend Y625;50
Дисплей;Дисплей Huawei Honor 7C Pro + тачскрин белый;290
Дисплей;Дисплей Sony T3 D5102/D5103 в сборе белый 1 класс;50
Дисплей;Дисплей iPhone 11 Pro + тачскрин (Копия - Incell FHD);2590
Дисплей;Дисплей iPhone 8 Plus + тач черный (Оригинал/CG);1890
Дисплей;Дисплей Xiaomi Redmi Note 11 Pro (4G)/11 Pro (5G)/12 Pro (4G)/Poco X4 Pro (5G) + тачскрин черный (OLED);3890
Дисплей;Дисплей iPhone 12/12 Pro + тачскрин (Оригинал 100% снятый);10990
Дисплей;Дисплей iPhone XS + тачскрин (Копия - Incell FHD);2190
Дисплей;Дисплей iPhone 14 Pro Max + тачскрин (Копия - Soft OLED);19090
Дисплей;Дисплей iPhone XS + тачскрин (Оригинал/CG);5090
Дисплей;Дисплей Tecno Spark 20C (BG7n/BG7) + тачскрин черный (Premium);1240
Дисплей;Дисплей Xiaomi Redmi 9T/Poco M3 + тачскрин черный (Оригинал NEW);1990
Дисплей;Дисплей Xiaomi Redmi 9T/Poco M3 + тачскрин черный (Premium);1590
Дисплей;Дисплей iPhone 7 + тач белый  (Оригинал/CG);1790
Дисплей;Дисплей Tecno Spark 20 (KJ5/KJ5n) + тачскрин черный;1090
Дисплей;Дисплей iPhone 11 Pro Max + тачскрин (Оригинал/CG);7190
Дисплей;Дисплей iPhone XS + тачскрин (Копия - Hard OLED);3090
Дисплей;Дисплей Xiaomi Redmi 9A/Redmi 9C/Redmi 10A + тачскрин черный (Оригинал NEW);1690
Дисплей;Дисплей iPhone 8 Plus + тач белый (Копия - TM);1190
Дисплей;Дисплей Huawei Honor 8X/Honor 9X Lite + тачскрин черный (Premium);1890
Дисплей;Дисплей iPhone 7 + тач белый  (Копия - TM);950
Дисплей;Дисплей iPhone 14 Pro + тачскрин (Копия - Soft OLED);16890
Дисплей;Тачскрин iPad 5 9.7(2017)/Air (2013) + кнопка HOME белый 1 класс;1390
Дисплей;Дисплей Huawei Honor 10X Lite/Huawei P Smart (2021) + тачскрин черный (Оригинал NEW);2240
Дисплей;Дисплей iPhone 8/SE 2020 + тач белый  (Копия - LT);750
Дисплей;Дисплей Samsung A515F A51 в сборе черный (Оригинал/CG);5890
Дисплей;Дисплей iPhone 5S/SE + тач черный (Копия - TM);750
Дисплей;Дисплей Huawei Honor 8A/Honor 8A Pro/Honor 8A Prime/Huawei Y6 (2019)//Huawei Y6 Pro (2019)/Huawei Y6s + тачскрин черный;990
Дисплей;Дисплей Tecno Pova 2/Pova 3 (LE7/LE7n/LF7n) + тачскрин черный;1640
Дисплей;Дисплей iPhone 5S/SE + тач белый (Копия - TM);750
Дисплей;Дисплей iPhone 13 + тачскрин (Копия - Incell FHD);3690
Дисплей;Дисплей Samsung A505F A50 в сборе черный (OLED);2690
Дисплей;Дисплей Oppo A17/A17k/A78 (5G)/A58 (5G) + тачскрин черный;1090
Дисплей;Дисплей Infinix Hot 20i (X665C/X665E) + тачскрин черный (Premium);1190
Дисплей;Дисплей iPhone 11 Pro Max + тачскрин (Копия - Hard OLED);4290
Дисплей;Дисплей iPhone 14 + тачскрин (Копия - Incell FHD);4890
Дисплей;Дисплей iPhone 13 mini + тачскрин (Оригинал/CG);9490
Дисплей;Дисплей iPhone 11 Pro Max + тачскрин (Копия - Soft OLED);5390
Дисплей;Дисплей iPad Mini 4 (2015) + тач черный (Оригинал);3990
Дисплей;Дисплей Huawei Honor 8X/Honor 9X Lite + тачскрин черный;1090
Дисплей;Дисплей iPhone 12/12 Pro + тачскрин (Копия - Incell FHD);3090
Дисплей;Дисплей iPhone 13 Pro Max + тачскрин (Копия - Hard OLED);10590
Дисплей;Дисплей Huawei P30 Lite/Honor 20 Lite/Honor 20S/Nova 4E + тачскрин черный (Premium);1990
Дисплей;Дисплей Samsung A105F/DS A10 (РФ) в сборе черный (Оригинал/CG);1790
Дисплей;Дисплей Vivo Y02 + тачскрин черный;890
Дисплей;Тачскрин  Iphone 11 в сборе 1 класс;990
Дисплей;Тачскрин  Iphone XS Max в сборе 1 класс;1090
Дисплей;Дисплей iPhone 15 + тачскрин (Оригинал 100% снятый);21590
Дисплей;Дисплей iPhone 13 + тачскрин (Оригинал/CG);8990
Дисплей;Дисплей Vivo Y53s (4G) (V2058) + тачскрин черный;1290
Дисплей;Дисплей Xiaomi Redmi 13C/Poco C65 + тачскрин черный (Premium);1440
Дисплей;Дисплей iPhone 14 Plus + тачскрин (Оригинал 100% снятый);17990
Дисплей;Дисплей iPhone 15 Pro + тачскрин (Оригинал 100% снятый);32990
Дисплей;Тачскрин iPad Air 3 (2019)/Pro 10.5 (2017) черный 1 класс;1590
Дисплей;Дисплей iPhone 7 Plus + тач белый  (Копия - TM);1150
Дисплей;Дисплей iPhone 8 Plus + тач черный (Копия - TM);1190
Дисплей;Дисплей iPhone 13 Pro Max + тачскрин (Оригинал 100% снятый);28990
Дисплей;Дисплей iPhone 13 + тачскрин (Копия - Hard OLED);5890
Дисплей;Дисплей Xiaomi Mi A1/Mi 5X + тачскрин белый;1140
Дисплей;Тачскрин iPad 10 10.9(2022) черный 1 класс;1890
Дисплей;Дисплей Samsung A022F A02 + тач черный (Оригинал/CG);1250
Дисплей;Дисплей Vivo Y18 (4G) + тачскрин черный;1240
Дисплей;Дисплей Samsung A356B A35 черный (Service Pack 100% без рамы);7690
