"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Время ремонта";"Characteristics:Время чистки";"Characteristics:Объем оперативной памяти";"Characteristics:Объем встроенной памяти";Characteristics:Цвет;Weight;Length;Width;Height
126400582312;;;;"iPhone 12;Ремонт";"Замена кнопки переключения вибро на iPhone 12";"Замена кнопки переключения вибро на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена кнопки переключения вибро на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3536-3363-4865-b433-666137373565/56389286.png;2500.00;;;;;7kOFNzh9abgzBIRale0i;;"2 часа";;;;;0;0;0;0
682145807162;;;;"iPhone 12;Ремонт";"Замена верхнего динамика на iPhone 12";"Замена верхнего динамика на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена верхнего динамика на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6633-3964-4538-b162-363735343061/62034644.png;2500.00;;;;;trsYkN4APXOtrTENoTbx;;"2 часа";;;;;0;0;0;0
758525342302;;;;"iPhone 12;Ремонт";"Чистка от пыли (без разбора) на iPhone 12";"Чистка динамиков и разъема зарядки на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";"Чистка динамиков и разъема зарядки на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor6463-3334-4366-a530-343561353836/30243973.png;300.00;;;;;vsP5tJC67Nr9Nj9mHFeu;;;"30 мин.";;;;0;0;0;0
219889530842;;;;"iPhone 12;Ремонт";"Перенос данных на iPhone 12";"Перенос данных на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";"Перенос данных на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor3231-3461-4537-a263-653964313937/11777311.png;500.00;;;;;v0MyMZrL7Z5x0EEMsebX;;;;;;;0;0;0;0
401832930892;;;;"iPhone 12;Ремонт";"Чистка динамика, микрофонов от пыли (с разбором) на iPhone 12";"Чистка динамика, микрофонов от пыли (с разбором) на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";"Чистка динамика, микрофонов от пыли (с разбором) на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor6463-3334-4366-a530-343561353836/30243973.png;2500.00;;;;;LUo4tLApXMdaNcVoMZAM;;;"2 часа";;;;0;0;0;0
893689374762;;;;"iPhone 12;Ремонт";"Замена стекла основной камеры на iPhone 12";"Замена стекла основной камеры на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена стекла основной камеры на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6661-3765-4764-b035-356663306533/86574713.png;1000.00;;;;;RBK2TvkzLTOA90O5Z2IV;;"1 час";;;;;0;0;0;0
191813499212;;;;"iPhone 12;Ремонт";"Замена нижнего динамика на iPhone 12";"Замена нижнего динамика на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена нижнего динамика на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6633-3964-4538-b162-363735343061/62034644.png;2500.00;;;;;cun1ffYRFIYb4OlvM9k0;;"2 часа";;;;;0;0;0;0
707175588452;;;;"iPhone 12;Ремонт";"Разблокировка iCloud, код-пароля на iPhone 12";"Разблокировка iCloud, код-пароля на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".<br /><br />Цена указана за разблокировку код-пароля, цену разблокировки iCloud вы можете узнать в онлайн-чате или позвонив нам.";"Разблокировка iCloud, код-пароля на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".<br /><br />Цена указана за разблокировку код-пароля, цену разблокировки iCloud вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3964-3836-4464-b937-643131616132/77683804.png;1500.00;;;;;uJI2pbVpB5Tj10EBHZXt;;"До 7 дней";;;;;0;0;0;0
848829492242;;;;"iPhone 12;Ремонт";"Активация и настройка Apple ID на iPhone 12";"Активация и настройка Apple ID на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";"Активация и настройка Apple ID на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor3261-6565-4231-b638-396264646366/96498233.png;500.00;;;;;psAfhKZv1axZj6IcHfJA;;;;;;;0;0;0;0
479194495862;;;;"iPhone 12;Ремонт";"Замена микрофона на iPhone 12";"Замена микрофона на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена микрофона на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6435-6466-4134-a337-306338623766/73044951.png;2500.00;;;;;sPBCcRVFnmZGpXMjasRc;;"2 часа";;;;;0;0;0;0
600469758462;;;;"iPhone 13;Ремонт";"Замена дисплея на iPhone 13";"Замена дисплея на iPhone 13, 13 mini, 13 Pro и 13 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена дисплея на iPhone 13, 13 mini, 13 Pro и 13 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6536-6163-4831-b661-666433353362/56869158.png;3000.00;;;;;9d6k6ogCaAmf9eP3rfVo;;"2-3 часа";;;;;0;0;0;0
469793662852;;;;"iPhone 13;Ремонт";"Замена аккумулятора на iPhone 13";"Замена аккумулятора (акб) на iPhone 13, 13 mini, 13 Pro и 13 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена аккумулятора (акб) на iPhone 13, 13 mini, 13 Pro и 13 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3864-3164-4433-b235-663931363462/10984035.png;3000.00;;;;;4S1Ts6cvP59tPOd03UC0;;"2 часа";;;;;0;0;0;0
